 Alex,Classic,0,1080
Nelson B tester,Random,2,8520
Test 3,Classic,0,2670
 Randy,Classic,2,7230
 Alex Le Gorzomor,Random,4,14890
 The boss,Random,6,16220
 Gli\,Classic,3,9830
 elsa,Œ,2,9490
asdassasd,Classic,1,5000
 Barbizou,Classic,1,3260
 pqul,Classic,0,2740
 aminata,Œ,2,7430
Gloser,Random,2,5680
 LlLa resta Kadasfdf,,6,31840
 ABENA,Random,8,16880
